time,party,strategy,votes,x,y
147,P1,random,227,0.3259337763225244,0.7507817923284651
148,P1,random,229,0.322833098386641,0.751124425273511
149,P1,random,228,0.3269205198412631,0.7535234063330816
150,P1,random,224,0.33072747548759024,0.7535560013946805
151,P1,random,225,0.33419024451782303,0.7490793424595711
152,P1,random,227,0.33830429951459545,0.7460334130588032
153,P1,random,231,0.3362522456564804,0.7436532589134693
154,P1,random,231,0.3327011078771383,0.7418903493226056
155,P1,random,231,0.3374684441233034,0.7377403576043036
156,P1,random,230,0.3416462943950212,0.7358535306836791
157,P1,random,226,0.34663700400909503,0.735450043716357
158,P1,random,228,0.3457589276355176,0.73080777133651
159,P1,random,230,0.3430608349645424,0.7284480095226042
160,P1,random,232,0.33909451878315744,0.7261768534895473
161,P1,random,233,0.34162587827439705,0.7241497584112218
162,P1,random,233,0.3394430533052781,0.7228299003405894
163,P1,random,230,0.3437575798224691,0.7220745899104778
164,P1,random,230,0.34480768786332416,0.7247668041728554
165,P1,random,227,0.3432349821572248,0.7272668589927461
166,P1,random,227,0.34100375682976664,0.7260866745527376
167,P1,random,227,0.34535856850925384,0.7245758014520332
168,P1,random,229,0.34443798533594294,0.7292153923076004
169,P1,random,226,0.34096549946006977,0.733745593704604
170,P1,random,225,0.34169355969083426,0.7379107344930014
171,P1,random,224,0.3460966166428143,0.7332111270618626
172,P1,random,226,0.34319121365432886,0.7365489768985908
173,P1,random,226,0.3423495184572218,0.7362588774536791
174,P1,random,227,0.3401442942836306,0.7395646722829233
175,P1,random,227,0.3407363331539109,0.736666348682463
176,P1,random,225,0.3430956457838813,0.7326541881806038
177,P1,random,227,0.34279180603567744,0.7305264222588316
178,P1,random,231,0.3398139928285719,0.7346223897983181
179,P1,random,227,0.33975551443989194,0.7313761891936839
180,P1,random,229,0.34159737682309005,0.73046110595814
181,P1,random,231,0.34254895697018317,0.7321092385563756
182,P1,random,232,0.33831917862548966,0.7317047648997537
183,P1,random,230,0.3385320348660127,0.7302471902613283
184,P1,random,229,0.3421610515530424,0.7305284133401619
185,P1,random,230,0.3435538383551496,0.734746281292416
186,P1,random,228,0.3467655792190063,0.7374714211888547
187,P1,random,228,0.3450303470253927,0.7419019174225294
188,P1,random,228,0.34477994997824696,0.7396974419492008
189,P1,random,231,0.34817002484948173,0.7376998867980378
190,P1,random,230,0.34656585936758266,0.7401175711064294
191,P1,random,230,0.3491947183007203,0.7437717597993249
192,P1,random,228,0.3509784711767355,0.7414767066461191
193,P1,random,228,0.3496278682236307,0.7434545833033636
194,P1,random,228,0.35224265198320087,0.7451021227696325
195,P1,random,230,0.3502734813626573,0.7411159241803481
196,P1,random,227,0.3499591018630384,0.7458882488209636
197,P1,random,231,0.3462777859911301,0.7438802854057558
198,P1,random,226,0.34269572893657196,0.7419304847130721
199,P1,random,222,0.34218778662743315,0.7369512258402703
0,P2,hunter,384,0.7272122598238066,0.6203038151656067
1,P2,hunter,382,0.7371901239777837,0.620968816612806
2,P2,hunter,376,0.7272544045808709,0.6198367918490262
3,P2,hunter,378,0.717318685183958,0.6187047670852464
4,P2,hunter,380,0.7073829657870452,0.6175727423214665
5,P2,hunter,381,0.6974472463901323,0.6164407175576867
6,P2,hunter,381,0.6875115269932195,0.6153086927939069
7,P2,hunter,382,0.6775758075963066,0.614176668030127
8,P2,hunter,380,0.6875436692172406,0.6149777514876462
9,P2,hunter,375,0.6822711025582566,0.606480690770753
10,P2,hunter,375,0.6769985358992726,0.5979836300538597
11,P2,hunter,372,0.6685704513791848,0.6033657663696972
12,P2,hunter,368,0.676211576347612,0.5969149362512643
13,P2,hunter,365,0.6663220546772706,0.5954325863830324
14,P2,hunter,362,0.6686155774452032,0.6051660211988091
15,P2,hunter,356,0.6711518912035719,0.5954930117126611
16,P2,hunter,355,0.6773071607090808,0.6033741700865648
17,P2,hunter,351,0.6703140486049487,0.5962259966765922
18,P2,hunter,349,0.6790685558851177,0.6010590704688561
19,P2,hunter,345,0.6693560447727565,0.6034396434864843
20,P2,hunter,338,0.678833655245809,0.6066294553494451
21,P2,hunter,331,0.6697051617974671,0.6107124208603918
22,P2,hunter,328,0.679198153113282,0.6138561631968218
23,P2,hunter,322,0.6716158348422414,0.6073363127662794
24,P2,hunter,321,0.6766854486926318,0.6159560004292942
25,P2,hunter,310,0.6735470108937203,0.6064612540829002
26,P2,hunter,312,0.6704085730948087,0.5969665077365062
27,P2,hunter,311,0.674885537038919,0.6059083640227108
28,P2,hunter,308,0.6734144922756772,0.5960171544250661
29,P2,hunter,309,0.6719434475124354,0.5861259448274214
30,P2,hunter,309,0.6704724027491936,0.5762347352297768
31,P2,hunter,312,0.6690013579859518,0.5663435256321321
32,P2,hunter,310,0.6775609565320183,0.5715139485094388
33,P2,hunter,311,0.6861205550780848,0.5766843713867456
34,P2,hunter,304,0.6767610965527507,0.5802058108811216
35,P2,hunter,304,0.6674016380274167,0.5837272503754976
36,P2,hunter,300,0.6768388818928065,0.5804199209051905
37,P2,hunter,299,0.6670671210872051,0.5782956114272396
38,P2,hunter,297,0.6763410796926544,0.5820364257482681
39,P2,hunter,294,0.6705684848782354,0.5902020334481605
40,P2,hunter,290,0.6772261126913289,0.5827403987812578
41,P2,hunter,290,0.6838837405044225,0.5752787641143552
42,P2,hunter,291,0.690541368317516,0.5678171294474526
43,P2,hunter,291,0.6971989961306095,0.5603554947805499
44,P2,hunter,288,0.6922121125937225,0.5690233083796951
45,P2,hunter,283,0.6911835786334358,0.5590763431192481
46,P2,hunter,287,0.6901550446731491,0.5491293778588012
47,P2,hunter,290,0.6891265107128625,0.5391824125983543
48,P2,hunter,288,0.6838109016096243,0.5476526132961874
49,P2,hunter,283,0.6754666195243137,0.5421414467698733
50,P2,hunter,281,0.6847144064669984,0.5383363926752893
51,P2,hunter,280,0.6883740099996367,0.5476426970966964
52,P2,hunter,276,0.6787396091169833,0.5503219357259204
53,P2,hunter,274,0.6868779849253597,0.5445110115996188
54,P2,hunter,273,0.6921244626867697,0.553024205541908
55,P2,hunter,272,0.6825439477566667,0.5558901667548476
56,P2,hunter,268,0.6900346697739196,0.5492652830833977
57,P2,hunter,270,0.6975253917911725,0.5426403994119479
58,P2,hunter,266,0.7022966546167926,0.5514287468703074
59,P2,hunter,267,0.7070679174424127,0.560217094328667
60,P2,hunter,266,0.6971478446355535,0.5589552878828875
61,P2,hunter,261,0.6985743600270913,0.5688530176143818
62,P2,hunter,253,0.7028163007718055,0.559797304571317
63,P2,hunter,251,0.6983746115625362,0.5687567351876153
64,P2,hunter,246,0.7010818492632072,0.5591301644569726
65,P2,hunter,244,0.6947785169787192,0.5668934113364252
66,P2,hunter,245,0.6884751846942312,0.5746566582158779
67,P2,hunter,243,0.6978313968284151,0.571126602338112
68,P2,hunter,238,0.6878328371482864,0.5709568839746275
69,P2,hunter,233,0.6967523739123854,0.5664356160204044
70,P2,hunter,228,0.6894668665743551,0.5595856975663273
71,P2,hunter,238,0.6821813592363247,0.5527357791122501
72,P2,hunter,247,0.6748958518982944,0.545885860658173
73,P2,hunter,247,0.667610344560264,0.5390359422040959
74,P2,hunter,243,0.6745582930088068,0.531843862368861
75,P2,hunter,248,0.6815062414573495,0.5246517825336262
76,P2,hunter,259,0.6884541899058922,0.5174597026983914
77,P2,hunter,267,0.695402138354435,0.5102676228631565
78,P2,hunter,269,0.7023500868029777,0.5030755430279217
79,P2,hunter,269,0.7092980352515205,0.4958834631926868
80,P2,hunter,279,0.7162459837000632,0.4886913833574519
81,P2,hunter,280,0.723193932148606,0.481499303522217
82,P2,hunter,286,0.7301418805971487,0.4743072236869821
83,P2,hunter,287,0.7370898290456914,0.4671151438517472
84,P2,hunter,288,0.7440377774942342,0.4599230640165123
85,P2,hunter,289,0.7509857259427769,0.4527309841812774
86,P2,hunter,292,0.7579336743913196,0.4455389043460425
87,P2,hunter,291,0.7613435869277387,0.4549395690296684
88,P2,hunter,291,0.7647534994641578,0.46434023371329436
89,P2,hunter,291,0.7681634120005769,0.4737408983969203
90,P2,hunter,283,0.7756460794698612,0.46710691863028586
91,P2,hunter,278,0.7662385665309881,0.46371594527372056
